id,title,alternativeTitles,year,publicationDates,humanReadablePublicationDates,languages,originalLanguages,authors,publishers,summary,genres,subjects,playingTimes,targetAudienceNotes,physicalDescriptions,bgg_id,bgg_primary_name,bgg_all_names,bgg_year,bgg_description,bgg_min_players,bgg_max_players,bgg_playing_time,bgg_min_age,bgg_categories,bgg_mechanics,bgg_designers,bgg_publishers,bgg_rank,bgg_average_rating,bgg_bayes_average,bgg_users_rated,bgg_weight,bgg_owned
keski.3394521,Maailman ihmeet : tietopeli,,2024,2024,[2024],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; lautapelit; perhepelit,,,Ikäsuositus: yli 8-vuotiaille.,"1 lautapeli (useita osia kotelossa) ; 22 x 16 x 5 cm + 1 sääntövihko (4 sivua), 1 kartta (taitettuna)",,,,,,,,,,,,,,,,,,,
keski.3141267,Ticket to ride : Europe,Menolippu : Eurooppa,2019,2019,[2019],fin; swe; nor; dan,,"{'primary': {'Moon, Alan R.': {'role': ['-']}, 'Delval, Julien': {'role': ['-']}}, 'secondary': {'Moon, Alan R., designer': {'role': ['designer']}, 'Delval, Julien, taiteilija': {'role': ['taiteilija']}}, 'corporate': []}",Asmodee Nordics,,lautapelit; pelit,['junat']; ['rautatiet'],,Ikäsuositus: yli 8-vuotiaille.,1 lautapeli (useita osia kotelossa) + säännöt (16 sivua),,,,,,,,,,,,,,,,,,,
keski.2953633,Herra Hakkaraisen seitsemän ihmettä,,2018,2018,[2018],fin; swe; eng,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; lautapelit; lastenpelit,,,Ikäsuositus: yli 4-vuotiaille.,1 lautapeli (useita osia kotelossa) + 1 sääntövihko (4 sivua),326048,The Lion Guard: 3D Snakes & Ladders,The Lion Guard: 3D Snakes & Ladders; Herra Hakkaraisen seitsemän ihmettä,2017,"Reach the top of The Pride rock by rolling the die! Climb up the cliff and be careful not slipping down the ledge.&#10;&#10;Classic Snakes and Ladders in 3D.&#10;Featuring characters from Disney's The Lion Guard&#10;&#10;&mdash;description from the publisher (translated)&#10;&#10;The Pride Lands are abuzz with excitement, because the race to The Pride Rock is about to begin!&#10;Move Kion and his friends all the way to the top and look out for the boulders that can help you climb up a a level or...",2,4,30,4,Animals; Children's Game; Dice; Movies / TV / Radio theme,Dice Rolling; Roll / Spin and Move,,Tactic,,2.75,0,4,0,1
keski.2918074,Great western trail,,2016,2016,[2016],eng; deu,,"{'primary': {'Pfister, Alexander': {'role': ['-']}, 'Resch, Andreas': {'role': ['-']}}, 'secondary': {'Pfister, Alexander, designer': {'role': ['designer']}, 'Resch, Andreas, kuvittaja': {'role': ['kuvittaja']}}, 'corporate': []}",Eggertspiele,,lautapelit; pelit,['1800-luku']; ['Villi länsi']; ['karjapaimenet']; ['karjatalous']; ['rakennukset']; ['reitit'],,Ikäsuositus: 14+.,1 lautapeli (useita osia kotelossa),193738,Great Western Trail,Great Western Trail; Great Western; Great Western Trail: Aventură prin Vestul Sălbatic; Great Western Trail: La Gran Ruta del Oeste; A nagy western utazás; Великий западный путь; グレート ウエスタン トレイル; 大西部之路; 大西鐵路; 그레이트 웨스턴 트레일,2016,"America in the 19th century: You are a rancher and repeatedly herd your cattle from Texas to Kansas City, where you send them off by train. This earns you money and victory points. Needless to say, each time you arrive in Kansas City, you want to have your most valuable cattle in tow. However, the &quot;Great Western Trail&quot; not only requires that you keep your herd in good shape, but also that you wisely use the various buildings along the trail. Also, it might be a good idea to hire capabl...",2,4,150,12,American West; Animals; Economic,"Deck, Bag, and Pool Building; Hand Management; Ownership; Set Collection; Track Movement; Variable Set-up",Alexander Pfister,eggertspiele; 999 Games; Arclight Games; Broadway Toys LTD; Conclave Editora; Delta Vision Publishing; Ediciones MasQueOca; Gigamic; Korea Boardgames; Lacerta; Ludicus Games; MINDOK; Pegasus Spiele; Plan B Games; Stronghold Games; uplay.it edizioni; YOKA Games; Zvezda,17,8.16577,7.99484,42692,3.6974,46265
keski.3249449,Etsi ja löydä! : Luontoretki,,2022,2022,[2022],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic,,lautapelit; pelit; lastenpelit; kaksinpelit; kolminpelit; nelinpelit,,,Ikäsuositus: 4+.,1 lautapeli + 1 sääntövihko kotelo 25 x 25 x 7 cm,,,,,,,,,,,,,,,,,,,
keski.3224224,Dinodeck,,2022,2022,[2022],fin; swe; eng,,"{'primary': [], 'secondary': [], 'corporate': []}",Hirmu Games,,pelit; lastenpelit,,,Ikäsuositus: yli 4-vuotiaille.,1 peli (useita osia kotelossa) + 1 taitelehti,365514,Dinodeck,Dinodeck,2022,"A Top Trumps style comparison card game about dinosaurs. The acting player chooses which category to compare (height, weight or speed), the players choose cards from their hands and the highest value wins all the cards. Replacement cards are drawn and when the deck runs out, the player with the most cards won wins the game.&#10;&#10;",2,8,15,4,Card Game; Children's Game,Memory; Trick-taking,Ilkka Landén,HIRMU Games,,5.15217,0,23,0,19
keski.2612210,Battle sheep,,2014,2014,2014.,fin; swe; eng; dan; nor; est; lav; lit; rus,,"{'primary': {'Rotta, Francesco': {'role': ['-']}, 'Femerstrand, Andrea': {'role': ['-']}, 'Saari, Mikko': {'role': ['-']}}, 'secondary': {'Rotta, Francesco, suunnittelija': {'role': ['suunnittelija']}, 'Femerstrand, Andrea, kuvaaja': {'role': ['kuvaaja']}, 'Saari, Mikko, kääntäjä': {'role': ['kääntäjä']}}, 'corporate': []}",Lautapelit.fi,,lautapelit; lastenpelit; pelit,,,,1 lautapeli (useita osia kotelossa),54137,Battle Sheep,Battle Sheep; Batalla de Ovejas; Battle Sheep สมรภูมิเจ้าขนปุย; Ovce: Boj o pastviny; Owce na wypasie; Splits; Voll Schaf; Бойові Вівці; מלחמת הכבשים; それはオレの牧場だ！; 배틀 쉽,2010,"In Battle Sheep (first released as Splits), players start the game by constructing the board from identical four-hex tiles, then each player places his/her tall stack of discs on one of the border hexes. Players take turns removing some number of discs from the top of one of their stacks, moving that new stack of discs as far away as it can go in a straight line. Players must leave at least one disc behind when moving, so the board gradually fills up and movement opportunities become more and mo...",2,4,15,7,Abstract Strategy; Animals,Enclosure; Grid Movement; Hexagon Grid; Modular Board,Francesco Rotta,Blue Orange (EU); Blue Orange Games; Jactalea; Arclight Games; FoxGames; Gambit (Гамбіт); Geoni; GoKids 玩樂小子; HUCH!; Korea Boardgames; Lanlalen; Lautapelit.fi; Lelekan; Lúdilo; REXhry,1947,6.60113,6.25133,5519,1.4486,6924
keski.2999158,Smart 10,,2019,2019,[2019],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Peliko/Martinex,,pelit; seurapelit,,,Ikäsuositus: yli 10-vuotiaille.,1 peli (useita osia kotelossa) + 1 sääntölehti,,,,,,,,,,,,,,,,,,,
keski.2864026,Arvaa kuka? = Vem där?,Vem där,2011,2011,2011.,fin; swe,,"{'primary': [], 'secondary': [], 'corporate': []}",Hasbro Europe,,pelit; lautapelit; lastenpelit,,,,"1 lautapeli (2 pelitelinettä 2 hahmoarkkia, 4 tukea, 4 hahmonvalitsinta, 2 pistetaulukon merkkiä, säännöt (1 lehti])",4143,Guess Who?,"Guess Who?; ¿Quién es quién?; ¿Quién es quién? Star Wars; ¿Quien soy yo?; Adivina Quien?; Adivinha Quem?; Arvaa kuka?; Bil Bakalım Kim?; Caccia Al Colpevole?; Cara a Cara?; Cara a Cara? Marvel Heroes; Cara a Cara? Princesas Disney; Cual es Cual?; Descobre Quem Sou?; Gettu hver?; Gissa vem?; Gjett hvem?; Guess Who? Cars 2; Guess Who? Disney Edition; Guess Who? Disney Jr; Guess Who? Disney Princess; Guess Who? Fun on the Run; Guess Who? Giant Edition; Guess Who? Grab&Go; Guess Who? Littlest Pet Shop Edition; Guess Who? Marvel Heroes Edition; Guess Who? Star Wars Edition; Guess Who? Wizarding World: Harry Potter; Guess Who?: Animal Crossing New Horizons; Guess Who?: English Heritage; Guess Who?: Mythical Edition; Guess Who?: Super Mario; Hádej, kdo je to?; Hvem er hvem?; Identitet Okänd?!; Indovina chi?; Indovina Chi? Juventus; Kabouter Plop de Zoekkampioen; Mijn eerste Wie Is Het?; Pokémon Diamond and Pearl: Guess That Pokémon; Power Rangers Samurai: Guessing Game; Profiler; Qui est-ce?; Qui est-ce? Disney Pixar; Qui est-ce? Olympique Lyonnais; Qui Est-ce?: Équipe de France – FFF; Qui suis-je: Who Am I; Qui suis-je?; Quien Puedo Ser?; Quién se esconde?; Der Sohn des Asterix: Wer ist es?; SpongeBob Erinnere Dich?; Thomas & Friends Guessing Game; Travel Guess Who?; Vem där?; Wer Bin Ich?; Wer ist es?; Wer war's?; Which Hero is it?; Who Am I?; Who Is It?; Who's who?; Who's Your Friend?; Whoosit?; Wie is 't?; Wie is het?; Zagadkowe ZOO; Zgadnij kto to?; Μάντεψε Ποιος?; Μάντεψε ποιός?: Disney edition; Угадай кто?; נחש מי; 猜猜我是誰？; 누구일까요?",1979,"The mystery face game where you flip over a collection of faces with different color hair, eye color, hair, hats, glasses etc.  to deduce who the secret person is that your opponent has chosen. You flip over the hooked tiles as you narrow your choices by asking characteristic questions.&#10;&#10;",2,2,20,6,Children's Game; Deduction; Movies / TV / Radio theme,Deduction; Questions and Answers,Theo Coster; Ora Coster; Theora Design,(Unknown); Cartamundi; Chad Valley Co Ltd.; Crown Games; Editions ATLAS; Estrela; Falomir Juegos; Funville Games; Gamesformotion; Global Toys AB; Hasbro; IMC Toys; Just Play; Korea Boardgames; Lakeside; MB Giochi; MB Jeux; MB Juegos; MB peli; MB Spellen; MB Spiele; Milton Bradley; Müller Ltd. & Co. KG; Nilco S.A.; Paul Lamond Games Ltd; Pavilion; Popular de Juguetes; Pressman Toy Corp.; Simba Toys; Spin Master Ltd.; Studio100; Teorema; Tomland; Top-Game; Toy Place; Trixy Games; Winning Moves France; Winning Moves Games (USA); Winning Moves UK Ltd.,28743,4.84678,4.9485,6988,1.0931,13114
keski.2613962,Qin,Ch'in,2012,2012,cop. 2012.,fin; swe; nor; dan; est,,"{'primary': {'Knizia, Reiner': {'role': ['-']}}, 'secondary': {'Knizia, Reiner, suunnittelija': {'role': ['suunnittelija']}}, 'corporate': []}",Lautapelit.fi [jakaja],,pelit; lautapelit; strategiapelit,['nuoret']; ['aikuiset'],,,1 lautapeli (useita osia kotelossa),127997,Qin,Qin,2012,"In Qin players colonize the Chinese hinterland, seize territories, and expand their influence by placing tiles and pagodas.&#10;&#10;A move is simple: You choose one out of three tiles from your hand, place it onto the grid of the board, then draw a new tile. Each tile shows two landscapes. If you create a territory that consists of at least two spaces of the same landscape, you seize it. You can also expand your territories, take over territories from other players, and connect your territories...",2,4,30,8,Abstract Strategy; Ancient; Territory Building,Area Majority / Influence; Enclosure; Hand Management; Tile Placement,Reiner Knizia,eggertspiele; Delta Vision Publishing; Gigamic; Lautapelit.fi; Pegasus Spiele; R&R Games; White Goblin Games,2125,6.80876,6.20605,2638,2.0263,3118
keski.2477070,Perhe Alias,Alias,2011,2011,cop. 2011.,fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Nelostuote/Tactic,,pelit; lautapelit,['selittäminen']; ['sanat'],,,1 lautapeli (useita osia kotelossa),52626,Family Alias,Family Alias; Alias Ģimenes; Familie Alias; Familje alias; Fjölskyldu Alias; Perhe Alias; Скажи інакше. Для всієї сім'ї,1998,"FAMILY ALIAS is a fun word and picture explanation of a game where you must be able to say otherwise, that is to play the partner to say as many as possible in the desired word by giving him the quick tips. FAMILY ALIAS is played with at least two teams, the upper limit of players is not made. Family Alias words and pictures are sound familiar, but how to explain the ordinary word 'CHAIR'?  It sitting. It is not necessarily sufficient, guesser may propose a sofas. The game is a fast rhythmical, ...",3,8,45,7,Party Game; Racing; Word Game,Point to Point Movement; Team-Based Game,Mikko Koivusalo,Tactic,23828,5.8913,5.50114,69,1.3333,205
keski.2980331,Curl4all : gamefun for everyone,Curl for all,2019,2019,[2019].,,,"{'primary': [], 'secondary': [], 'corporate': []}",curl4all.com,,seurapelit; lautapelit; pelit,['curling']; ['joukkuepelit'],,Ikäsuositus: yli 5-vuotiaille.,1 lautapeli (useita osia kotelossa),,,,,,,,,,,,,,,,,,,
keski.2704516,Coloretto+,Coloretto,2015,2015,2015.,fin; swe; dan; nor,,"{'primary': {'Schacht, Michael': {'role': ['-']}, 'Femerstrand, Andrea': {'role': ['-']}}, 'secondary': {'Schacht, Michael, designer': {'role': ['designer']}, 'Schacht, Michael, suunnittelija': {'role': ['suunnittelija']}, 'Femerstrand, Andrea, kuvittaja': {'role': ['kuvittaja']}}, 'corporate': []}",Lautapelit.fi,,korttipelit; lastenpelit; pelit,['värit'],,Ikäsuositus:8+,1 korttipeli (useita osia kotelossa),5782,Coloretto,Coloretto; Coloretto edizione anniversario 10 anni; Coloretto:  10 years edition; Coloretto: 10 Ans Déjà; Coloretto: 10 Jahre Jubiläumsausgabe; Coloretto: 10 let jubilejná edícia; Coloretto+; Kameleon; Χαμαιλέοντες; Колоретто; コロレット; コロレット 10周年記念版; 變色龍; 컬러레또,2003,"Game play in Coloretto is simple: Either draw a card to play to a row, or take a row of cards to add them to your collection. A row can have at most three cards, so at some point everyone is forced to take a row. Once all the rows have been claimed, players start a new round, drawing or taking once again.&#10;&#10;What are you trying to do with these cards? Collect huge sets - but only in three colors as every color beyond the third will cost you points. Jokers are highly-prized as they always m...",2,5,30,8,Animals; Card Game,Open Drafting; Push Your Luck; Set Collection; Turn Order: Pass Order,Michael Schacht,"ABACUSSPIELE; 999 Games; Albi; Brain Games; Corfix; Devir; DV Games; G3; Grow Jogos e Brinquedos; HomoLudicus; Kaissa Chess & Games; Korea Boardgames; Lautapelit.fi; Lifestyle Boardgames Ltd; Möbius Games; Oya; PS-Games; Red Glove; Rio Grande Games; Swan Panasia Co., Ltd.",703,6.98149,6.82424,22200,1.2706,30372
keski.3188687,Helsinki 2012,,2021,2021,[2021],fin,,"{'primary': {'Game Storm Studios': {'role': ['kirjoittaja']}, 'Heljakka, Markku': {'role': ['-']}, 'Tuominen, Arttu': {'role': ['-']}}, 'secondary': {'Game Storm Studios, designer': {'role': ['designer']}, 'Heljakka, Markku, alkuperäisidean luoja': {'role': ['alkuperäisidean luoja']}}, 'corporate': []}",Tactic Games,,pelit; lautapelit,['rikokset']; ['Helsinki'],,Ikäsuositus: yli 18-vuotiaille.,1 lautapeli (useita osia kotelossa) ; 16 x 22 cm + sääntövihko (4 numeroimatonta sivua),349495,Crime Scene: Helsinki 2012,Crime Scene: Helsinki 2012; Crime Scene: Helsingfors 2012,2021,"Helsinki is one of the four original Crime Scene Games. It is a mystery solving game that combines three main elements:&#10;1) A modern mystery story written by professional crime author Arttu Tuominen. 2) Finding details from a &quot;Hidden image&quot; picture. 3) More or less classic puzzle solving. The puzzles range from single to four card ones, and from light to quite heavy.&#10;Players can use hints to help with the solving, but it costs them Reputation cards. Giving a wrong answer also ma...",1,4,240,18,Card Game; Deduction; Murder / Mystery; Puzzle,Cooperative Game; Deduction; Finale Ending,Richard Heayes; Markku Heljakka; Petter Ilander,Tactic,26040,5.19412,5.48985,68,1.5,164
keski.3215386,Lumottu metsä,,2022,2022,[2022],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; lautapelit,,,Ikäsuositus: yli 5-vuotiaille.,1 lautapeli (useita osia kotelossa) + 1 sääntövihko (4 sivua),17235,Mago Magino,Mago Magino; Den Förtrollade Skogen; Lumottu metsä; Lunar Expedition; Sunshine Rescue; Vampire Party; Vampyr Party; Vampyyrijuhlat,2004,&#10;    Mago Magino editions: The evil Witch has taken all crystals from the Wizard Mago Magino. The children have to help him to collect the crystals. But the witch (in the form of a witch-like spinner) can still transform the children into small frogs. So beware.&#10;&#10;&#10;&#10;    Sunshine Rescue: Children rescue pieces of sunshine and the sun rescues the children!&#10;&#10;&#10;Children skip through the field or take the rainbow shortcut to try and rescue pieces of sunshine. Watch out a...,2,5,30,5,Children's Game; Dice; Exploration; Fantasy,Roll / Spin and Move,Reiner Knizia,One Moment Games; AMO Toys; Competo / Marektoy; Piatnik; Rio Grande Games; Selecta Spielzeug; SimplyFun; Tactic,13764,6.09848,5.54127,197,1.1538,328
keski.2880911,Afrikan tähti : deluxe,Afrikan tähti; Afrikas stjärna,2017,2017,[2017],fin; swe; est; eng,,"{'primary': {'Mannerla, Kari': {'role': ['-']}}, 'secondary': {'Mannerla, Kari, suunnittelija': {'role': ['suunnittelija']}}, 'corporate': []}",Peliko,,pelit; lautapelit; lastenpelit,['Afrikan tähti'],,,1 lautapeli (useita osia kotelossa),5130,Afrikan tähti,Afrikan tähti; African Star; Afrika Csillaga; Afrikas stjärna; Afrikas stjerne; Diamond Hunt; Estrela Africana; Den försvunna diamanten; Den forsvunne diamant; Den forsvunne diamanten; L'étoile d'Afrique; Mini Afrikan Tähti; Reis läbi Aafrika; Der Stern von Afrika; Stern von Afrika; Zaginiony diament; Звезда Африки,1951,"Afrikan t&auml;hti (&quot;Star of Africa&quot;) is the most important Finnish board game ever. Designed in 1949 by then 19-year-old Kari Mannerla and published two years later in 1951, it has sold over 3.5 million copies since, half of them in Finland. There's one in almost every home in Finland.&#10;&#10;Players start in either Cairo or Tangier and start exploring Africa, trying to find gems. The main objective is to find the legendary giant diamond, Star of Africa. However, when flipping the t...",2,5,45,6,Children's Game; Exploration,Point to Point Movement; Roll / Spin and Move,Kari Mannerla,Alga; Aristospel; Brio AB; Carlit; Joker; Kuvataide; Majora; Martinex; N.W. Damm & Søn (Damm); Paletti; Peliko Oy; Piatnik; Spear's Games; Vaba Maa; Waddingtons,28726,4.71585,5.13295,1611,1.087,1989
keski.2747374,Magic labyrinth,Maaginen labyrintti,2016,2016,[2016].,fin; swe; dan; nor,,"{'primary': {'Baumann, Dirk': {'role': ['-']}}, 'secondary': {'Baumann, Dirk, designer': {'role': ['designer']}}, 'corporate': []}",Enigma,,lautapelit; pelit; lastenpelit,['labyrintit'],,,1 lautapeli (useita osia kotelossa),41916,The Magic Labyrinth,The Magic Labyrinth; Az elvarázsolt labirintus; El Laberint Màgic; El Laberinto Mágico; Il Labirinto Magico; O Labirinto Mágico; Labirintul Magic; Le Labyrinthe magique; Il Labyrinto Magico; Maaginen labyrintti; Magi Labyrinten; Magi-Labyrinten; Magic Labyrinth; Magický labyrint; Magiczny Labirynt; Magilabyrinten; Het Magische Labyrint; Das Magische Labyrinth; Den magiska labyrinten; Den magiske labyrint; Ο Μαγικός Λαβύρινθος; Магический лабиринт; Магічний лабіринт; קסם המבוך; 磁石魔法迷宮; 마법의 미로,2009,"The little magician apprentices have lost some magic objects inside of the master&rsquo;s maze. Now they try to collect them before the Master notices anything. However, in the maze there are invisible walls and only one of the missing objects is revealed at a time. So they have to make their way through the maze by means of a good memory and lots of skill.&#10;&#10;Each player moves their magician over the board while trying not to bump the labyrinth below. Each magician is joined with a magnet...",2,4,30,6,Children's Game; Fantasy; Maze; Memory,Dice Rolling; Grid Movement; Memory; Network and Route Building; Roll / Spin and Move,Dirk Baumann,"Drei Magier Spiele; ADC Blackfire Entertainment; Competo / Marektoy; Devir; Enigma (Bergsala Enigma); G3; Gigamic; HaKubia; Kaissa Chess & Games; Korea Boardgames; Lautapelit.fi; Lion Rampant Imports; Oxygame; Playgo Hungary; Playroom Entertainment; Spilbræt.dk; Swan Panasia Co., Ltd.; Vennerød Forlag AS; YellowBOX; Ґавіал; Нескучные игры",1429,6.81332,6.4332,6488,1.21,12474
keski.3238632,Arvaa kuka?,,2022,2022,[2022],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Hasbro,,korttipelit; lastenpelit; pelit,['tarkkaavaisuus']; ['havainnointi'],,Ikäsuositus: yli 6-vuotiaille.,1 korttipeli (60 korttia kotelossa),4143,Guess Who?,"Guess Who?; ¿Quién es quién?; ¿Quién es quién? Star Wars; ¿Quien soy yo?; Adivina Quien?; Adivinha Quem?; Arvaa kuka?; Bil Bakalım Kim?; Caccia Al Colpevole?; Cara a Cara?; Cara a Cara? Marvel Heroes; Cara a Cara? Princesas Disney; Cual es Cual?; Descobre Quem Sou?; Gettu hver?; Gissa vem?; Gjett hvem?; Guess Who? Cars 2; Guess Who? Disney Edition; Guess Who? Disney Jr; Guess Who? Disney Princess; Guess Who? Fun on the Run; Guess Who? Giant Edition; Guess Who? Grab&Go; Guess Who? Littlest Pet Shop Edition; Guess Who? Marvel Heroes Edition; Guess Who? Star Wars Edition; Guess Who? Wizarding World: Harry Potter; Guess Who?: Animal Crossing New Horizons; Guess Who?: English Heritage; Guess Who?: Mythical Edition; Guess Who?: Super Mario; Hádej, kdo je to?; Hvem er hvem?; Identitet Okänd?!; Indovina chi?; Indovina Chi? Juventus; Kabouter Plop de Zoekkampioen; Mijn eerste Wie Is Het?; Pokémon Diamond and Pearl: Guess That Pokémon; Power Rangers Samurai: Guessing Game; Profiler; Qui est-ce?; Qui est-ce? Disney Pixar; Qui est-ce? Olympique Lyonnais; Qui Est-ce?: Équipe de France – FFF; Qui suis-je: Who Am I; Qui suis-je?; Quien Puedo Ser?; Quién se esconde?; Der Sohn des Asterix: Wer ist es?; SpongeBob Erinnere Dich?; Thomas & Friends Guessing Game; Travel Guess Who?; Vem där?; Wer Bin Ich?; Wer ist es?; Wer war's?; Which Hero is it?; Who Am I?; Who Is It?; Who's who?; Who's Your Friend?; Whoosit?; Wie is 't?; Wie is het?; Zagadkowe ZOO; Zgadnij kto to?; Μάντεψε Ποιος?; Μάντεψε ποιός?: Disney edition; Угадай кто?; נחש מי; 猜猜我是誰？; 누구일까요?",1979,"The mystery face game where you flip over a collection of faces with different color hair, eye color, hair, hats, glasses etc.  to deduce who the secret person is that your opponent has chosen. You flip over the hooked tiles as you narrow your choices by asking characteristic questions.&#10;&#10;",2,2,20,6,Children's Game; Deduction; Movies / TV / Radio theme,Deduction; Questions and Answers,Theo Coster; Ora Coster; Theora Design,(Unknown); Cartamundi; Chad Valley Co Ltd.; Crown Games; Editions ATLAS; Estrela; Falomir Juegos; Funville Games; Gamesformotion; Global Toys AB; Hasbro; IMC Toys; Just Play; Korea Boardgames; Lakeside; MB Giochi; MB Jeux; MB Juegos; MB peli; MB Spellen; MB Spiele; Milton Bradley; Müller Ltd. & Co. KG; Nilco S.A.; Paul Lamond Games Ltd; Pavilion; Popular de Juguetes; Pressman Toy Corp.; Simba Toys; Spin Master Ltd.; Studio100; Teorema; Tomland; Top-Game; Toy Place; Trixy Games; Winning Moves France; Winning Moves Games (USA); Winning Moves UK Ltd.,28743,4.84678,4.9485,6988,1.0931,13114
keski.3287014,Etevät etsivät : hullunkurinen mysteeripeli,,2023,2023,[2023],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Sanoma Pro oy,,pelit; lautapelit; lastenpelit,,,Ikäsuositus: 6-99-vuotiaille.,1 lautapeli (useita osia kotelossa) + 1 sääntövihko (29 sivua),,,,,,,,,,,,,,,,,,,
keski.3366448,Popsivat Mopsit! = Gapa Stort! =Tongues out!,Gapa Stort!; Tongues out!,2023,2023,2023.,fin; eng; swe,,"{'primary': {'Blue Orange': {'role': ['designer']}}, 'secondary': [], 'corporate': {'Blue Orange, designer': {'role': ['designer']}}}",Blue Orange Edition,"Voi ei! Mopsit popsivat kaikki tikkarit! Onneksi mopsien kielet värjäytvät tikkarien värisiksi. Yritä joka vuorollasi selvittää, ketkä kaksi pikku mopsia nuolivat noppien näyttämiä tikkareita! Kun rutistat koiranpentuja, ne näyttävät sinulle kieltä! Vaikka ne olisivat kuinka suloisia, niin nyt ne saavat kuulla kunniansa... Ensimmäisenä 6 tikkarien väristä mopsia löytänyt pelaaja voittaa pelin!",pelit; lautapelit; muistipelit; lastenpelit,['eläimet']; ['koira']; ['makeiset']; ['kieli (ruumiinosat)'],,Ikäsuositus: yli 4-vuotiaille.,1 lautapeli + 3 sääntölehteä kotelo 26 x 26 x 7 cm,363357,Tongues Out!,Tongues Out!; Jazýčky ven!; Lambeijocas; Lolly Dogs; Mums Mops; Mutasd a nyelved!; Pokaż język!; Zungen Raus!; Мопсы-сладкоежки; 贪吃麻吉狗,2022,"The pugs ate all the lollipops! Luckily their tongues are dyed the color of the lollipop they had! Each turn, try to match two lollipops on the dice with two squishy pugs that you think licked them! When you gently squeeze the little pups, their tongue comes out! No matter how cute these chubby pugs are, they will not get away with this... The first player to match 6 pugs with lollipops&rsquo; colors wins the game!&#10;&#10;&mdash;description from the publisher's website&#10;&#10;",2,4,20,4,Children's Game; Memory,Matching; Memory; Set Collection,Thierry Denoual,Blue Orange Games; ADC Blackfire Entertainment; Blue Orange (EU); Broadway Toys LTD; Galápagos Jogos; Gém Klub Kft.; Granna; Lifestyle Boardgames Ltd; Spilbræt.dk; TWOPLUS Games,19312,5.84862,5.51652,109,1,294
keski.3238631,Kanin loikka : hassunhauska kilpajuoksu,Hassunhauska kilpajuoksu,2022,2022,[2022],fin; swe,und,"{'primary': {'Schmider, Nina': {'role': ['-']}, 'Erdt, Markus': {'role': ['-']}}, 'secondary': {'Schmider, Nina, suunnittelija': {'role': ['suunnittelija']}, 'Erdt, Markus, kuvittaja': {'role': ['kuvittaja']}}, 'corporate': []}",Ravensburger Spieleverlag,,lautapelit; pelit; lastenpelit,['kani'],,Ikäsuositus: 4+,1 lautapeli (useita osia kotelossa) ; 27 x 27 x 11 cm + 1 sääntövihko (8 sivua),,,,,,,,,,,,,,,,,,,
keski.2456600,Eläinpyramidi,Djurpyramiden,2005,2005,cop. 2005,fin; swe,,"{'primary': {'Bayer, Michael': {'role': ['-']}, 'Miltenberger, Klaus': {'role': ['-']}}, 'secondary': {'Bayer, Michael, kuvaaja': {'role': ['kuvaaja']}, 'Miltenberger, Klaus, suunnittelija': {'role': ['suunnittelija']}}, 'corporate': []}",Haba,,pelit; lastenpelit; lautapelit,,,,1 lautapeli (useita osia kotelossa),17329,Animal Upon Animal,Animal Upon Animal; Állatpiramis; Animal sobre Animal; Dier op Dier; Djur på djur; Dyr på Dyr; Eläinpyramidi; Pyramide d'Animaux; Tier auf Tier; Tier auf Tier: Das wackelige Stapelspiel; Torre di Animali; Zwierzak na zwierzaku; Πυραμίδα από ζωάκια; Зверобашня; ต่อตัวมหัศจรรย์; ワニに乗る; 動物疊疊樂,2005,"The animals want to show how good they are at making tall pyramids!  They must be skillfully careful: Who will position the penguin on top of the crocodile, the sheep on top of the penguin, the serpent on the sheep?  The hedgehog wants to stand on top of the pyramid but the height is making him dizzy.&#10;&#10;Tier auf Tier (a.k.a. Animal Upon Animal, Pyramide d'animaux, and Dier op dier) is a simple stacking game, listed for ages 4-99, with 29 cute wooden animals.&#10;&#10;Each turn a player ro...",2,4,15,4,Action / Dexterity; Animals; Children's Game,Dice Rolling; Stacking and Balancing; Take That,Klaus Miltenberger,"HABA; Conclave Editora; Hobby World; Swan Panasia Co., Ltd.",1282,6.77182,6.49546,8896,1.0389,14249
